Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2025-01-02,507.6553955078125,514.0330543562292,503.1581839494331,511.70483525262233,36389800
2025-01-03,515.9632568359375,517.0278648918753,509.9437973453937,510.7596061768049,29059500
2025-01-06,521.8931884765625,525.2561381071918,519.3959047599175,521.3758536522039,36109700
2025-01-07,512.5803833007812,523.335833378113,510.6900071781392,522.9378882230591,36690300
2025-01-08,512.6699829101562,514.3116206247583,507.99368681971373,512.4809392152073,30777800
2025-01-10,504.6307067871094,508.9985389290603,501.3772182340775,508.89906782286687,40532500
2025-01-13,503.0089416503906,503.4666119884404,497.17852578677275,498.6709567862965,31694200
2025-01-14,502.5313415527344,507.58572476161,499.0589618879038,506.1728767537031,33737200
2025-01-15,514.0927124023438,515.236872995838,508.87913311499364,510.44124844999436,34957600
2025-01-16,510.4909973144531,516.44080259186,510.3616484408425,516.3611892710602,28229000
2025-01-17,519.1072998046875,521.4255596709942,510.5208417683664,520.2116841905068,51837900
2025-01-21,522.15185546875,523.3159346639001,517.4357831491008,521.8334628963586,23628000
2025-01-22,528.8279418945312,531.1262829083367,526.589295683922,526.8977289549638,33593000
2025-01-23,529.952392578125,530.0717822178485,525.7835322640965,526.3705212048735,23096600
2025-01-24,526.95751953125,531.0965016684947,525.4850069666725,530.3304283427711,19878300
2025-01-27,511.6153564453125,515.3762512683116,507.57581496885507,508.42153200479015,60771700
2025-01-28,519.1768798828125,520.3608774249693,509.19749371576415,512.6201071165299,33194200
2025-01-29,518.201904296875,519.9530330379257,514.2917423982929,519.8236841608818,26649000
2025-01-30,520.41064453125,523.4452418932513,515.5951014840432,521.0673481367949,27431300
2025-01-31,519.6544799804688,528.8379462917052,518.5600549193936,524.2611216563674,38755200
2025-02-03,515.4956665039062,518.2218310867504,508.47129281901437,510.87906479498304,40580800
2025-02-04,521.823486328125,522.4602714517823,515.614983190396,516.0129890744747,26046800
2025-02-05,524.1915283203125,524.3507549789844,517.9929838870746,519.1869409184043,21134100
2025-02-06,526.9276123046875,527.1365745057541,523.0871044523607,524.6989250686672,19434500
2025-02-07,520.2813110351562,529.4149811581992,519.5550140724782,527.4649102497111,29605500
2025-02-10,526.5794067382812,527.6837911084541,524.0920217277084,524.559620960653,20852800
2025-02-11,525.3257446289062,527.2459985319832,523.1766707420592,523.306019618235,19325500
2025-02-12,525.6341552734375,526.5196788561027,519.3162220342847,519.6644316230244,25009400
2025-02-13,533.1958618164062,533.5141936498824,526.5196987532877,527.3056905351805,28714800
2025-02-14,535.4345092773438,536.1210299534633,532.966982109474,533.3052931830399,17862600
2025-02-18,536.6483154296875,537.2751412860282,533.3351017214825,537.0064842826905,20565000
2025-02-19,536.797607421875,538.0810762342214,533.7530505774469,535.8523889660353,19666900
2025-02-20,534.5191650390625,536.3797243246669,529.7732753357768,536.0115961704357,26550800
2025-02-21,523.4254150390625,535.6832555528226,523.057286918843,535.6633370402143,47093800
2025-02-24,517.2467041015625,526.400292568826,516.908453766449,525.2162949415896,39268400
2025-02-25,510.72979736328125,516.6995213959628,506.86937096397327,516.6199080719186,48940000
2025-02-26,511.9635314941406,517.0377726397771,508.7896257822196,512.928668459214,34457600
2025-02-27,497.74560546875,516.4507580909494,497.5267143835209,515.5154989416602,52448000
2025-02-28,505.60577392578125,506.2126812749178,494.42247061966975,497.60633547937397,47654000
2025-03-03,494.5418701171875,510.4511747502602,491.08937854664106,508.93885561166286,44587200
2025-03-04,493.0494384765625,501.19811409825184,485.2788502299198,491.68635636601033,67875400
2025-03-05,499.47686767578125,501.08868829896096,488.7811121667995,493.6961873600139,46323700
2025-03-06,485.7365417480469,496.06413848203505,483.74663380211234,491.1988293432897,57574300
2025-03-07,489.3084411621094,490.7909129209113,478.1052492912749,484.7017992368597,54714700
2025-03-10,470.3446350097656,481.5279087208424,466.2951647732502,481.01054355010933,76668000
2025-03-11,469.2203063964844,476.39391614178453,464.65347123925363,469.96652188682117,68760800
2025-03-12,474.5134582519531,478.6325518771569,469.4093395543602,476.74214541675576,46971100
2025-03-13,465.9767761230469,473.8767137089589,464.07641024395843,473.8468663020031,46563300
2025-03-14,477.2396240234375,478.1350765220873,470.73261656970107,471.3395542793586,43563000
2025-03-17,480.3338928222656,483.3884086426206,475.38897062743524,477.189834792779,41744400
2025-03-18,472.1454772949219,477.1898709733085,470.0262204273719,476.9908983924578,39072300
2025-03-19,478.4634094238281,482.88097693346737,472.4737673393992,474.40398039047363,40430300
2025-03-20,476.8416748046875,482.10495972485467,473.77719941007575,474.4736793716476,36780500
2025-03-21,478.4136657714844,479.1797694014654,470.52368803573967,471.6877671830669,42234900
2025-03-24,488.91217041015625,489.75914861467663,482.6744601047364,486.0025586791713,34567200
2025-03-25,491.7021484375,491.8615821216475,488.67299966529646,489.639545469345,26035200
2025-03-26,482.6545104980469,491.4032325143907,481.1000700784772,490.54628025757523,34627100
2025-03-27,479.9043273925781,484.84664994408064,478.5392125885613,480.69152170184447,33469800
2025-03-28,467.2695007324219,478.8082359990657,466.382656576976,478.10077374160966,46363800
2025-03-31,467.2496032714844,468.1862267806507,455.70086298518777,460.2745390190723,53000300
2025-04-01,471.01611328125,471.94279304476703,462.76561033586444,465.6353253704141,41156200
2025-04-02,474.4538269042969,477.85168326885497,464.20047397854324,464.4595575234652,49894500
2025-04-03,449.0545959472656,458.4310779026491,448.5364593153614,454.8140043600852,70456300
2025-04-04,421.1643371582031,438.8012662497565,421.1643371582031,436.57922963452495,117088400
2025-04-07,422.1806945800781,441.5614201479207,400.95658358107875,407.20423705779143,161557000
